RUN	performanceTests.PerfTest	perftest	1657181592660	 	3.0.2
USER	case study performance test	1	START	1657181592781	1657181592781
USER	case2 study performance test	3	START	1657181593337	1657181593337
USER	case2 study performance test	4	START	1657181593775	1657181593775
USER	case study performance test	2	START	1657181594332	1657181594332
REQUEST	3		POST /1/organizations/	1657181594043	1657181594877	OK	 
REQUEST	3		POST /1/boards/	1657181594971	1657181595636	OK	 
USER	case2 study performance test	3	END	1657181593337	1657181595644
REQUEST	2		POST /1/organizations/	1657181594459	1657181595734	OK	 
USER	case2 study performance test	6	START	1657181595772	1657181595772
USER	case study performance test	5	START	1657181595771	1657181595771
REQUEST	4		POST /1/organizations/	1657181594043	1657181596008	OK	 
REQUEST	1		POST /1/organizations/	1657181594043	1657181596275	OK	 
REQUEST	2		POST /1/boards/	1657181595804	1657181596482	OK	 
REQUEST	5		POST /1/organizations/	1657181595890	1657181596481	OK	 
REQUEST	6		POST /1/organizations/	1657181595853	1657181596517	OK	 
REQUEST	4		POST /1/boards/	1657181596030	1657181596693	OK	 
USER	case2 study performance test	4	END	1657181593775	1657181596694
REQUEST	1		POST /1/boards/	1657181596285	1657181596914	OK	 
REQUEST	2		POST /1/lists	1657181596543	1657181596963	OK	 
REQUEST	6		POST /1/boards/	1657181596545	1657181597073	OK	 
USER	case2 study performance test	6	END	1657181595772	1657181597074
REQUEST	5		POST /1/boards/	1657181596537	1657181597081	OK	 
REQUEST	1		POST /1/lists	1657181596949	1657181597372	OK	 
REQUEST	5		POST /1/lists	1657181597090	1657181597580	OK	 
REQUEST	2		POST /1/cards	1657181597029	1657181597523	OK	 
REQUEST	2		POST /1/cards	1657181597543	1657181598057	OK	 
REQUEST	1		POST /1/cards	1657181597390	1657181597909	OK	 
REQUEST	1		POST /1/cards	1657181597913	1657181598471	OK	 
REQUEST	5		POST /1/cards	1657181597592	1657181598095	OK	 
REQUEST	5		POST /1/cards	1657181598097	1657181598639	OK	 
REQUEST	2		GET /1/cards/62c6959dcb18fa19383056d7	1657181598088	1657181598554	OK	 
REQUEST	1		GET /1/cards/62c6959d5e8b547d552bfc3c	1657181598485	1657181598914	OK	 
REQUEST	5		GET /1/cards/62c6959d57a1666edc5efa95	1657181598645	1657181599021	OK	 
REQUEST	2		PUT /1/cards/62c6959dcb18fa19383056d7	1657181598574	1657181599041	OK	 
REQUEST	1		PUT /1/cards/62c6959d5e8b547d552bfc3c	1657181598926	1657181599403	OK	 
REQUEST	5		PUT /1/cards/62c6959d57a1666edc5efa95	1657181599033	1657181599497	OK	 
REQUEST	2		DELETE /1/organizations/62c6959b81a7d92ca64ccf1e	1657181599074	1657181599804	OK	 
REQUEST	1		DELETE /1/organizations/62c6959bdeca717a66c858b0	1657181599414	1657181600130	OK	 
REQUEST	2		DELETE /1/boards/62c6959c765b316836256c0a	1657181599825	1657181600449	OK	 
REQUEST	2		GET /1/cards/62c6959dcb18fa19383056d7	1657181600453	1657181600851	OK	 
USER	case study performance test	2	END	1657181594332	1657181600852
REQUEST	5		DELETE /1/organizations/62c6959ca0320d4ae7d4dbe4	1657181599510	1657181600317	OK	 
REQUEST	1		DELETE /1/boards/62c6959c70d6b136b8441336	1657181600135	1657181600779	OK	 
REQUEST	1		GET /1/cards/62c6959d5e8b547d552bfc3c	1657181600783	1657181601224	OK	 
USER	case study performance test	1	END	1657181592781	1657181601225
REQUEST	5		DELETE /1/boards/62c6959c691ef968c186ba1a	1657181600321	1657181601040	OK	 
REQUEST	5		GET /1/cards/62c6959d57a1666edc5efa95	1657181601044	1657181601451	OK	 
USER	case study performance test	5	END	1657181595771	1657181601452
